model_pair,metric,sample_size,n_trials,mean_ci_width,std_ci_width,empirical_coverage,mean_point_estimate,std_point_estimate,fraction_significant,median_p_value,coverage_se,nominal_ci_level,full_sample_estimate
m1v7,coherence,25,500,0.9288786666666663,0.11765746447730283,0.962,-0.5814666666666666,0.2146809058538556,0.622,0.028,0.008550555537507495,0.95,-0.5533333333333337
m1v7,coherence,50,500,0.6625019999999998,0.05076006466040663,0.992,-0.5558933333333334,0.12302006541703939,0.95,0.0025,0.003983967871356396,0.95,-0.5533333333333337
m1v7,coherence,100,500,0.4739129999999998,0.009737381165472589,1.0,-0.5533333333333332,6.885255716616238e-16,1.0,0.0,0.0,0.95,-0.5533333333333337
m1v7,consistency,25,500,0.5194773333333332,0.2069654576622162,0.84,-0.1147733333333333,0.1264927512592369,0.018,0.5115000000000001,0.01639512122553536,0.95,-0.10666666666666558
m1v7,consistency,50,500,0.3885390000000001,0.08011204148387904,0.968,-0.1069199999999999,0.07171051803462022,0.034,0.33525000000000005,0.007870959280799264,0.95,-0.10666666666666558
m1v7,consistency,100,500,0.28304683333333325,0.006633708065114298,1.0,-0.10666666666666613,5.422880968075655e-16,0.0,0.15925,0.0,0.95,-0.10666666666666558
m1v7,fluency,25,500,0.32052000000000014,0.10738673246499257,0.936,-0.08013333333333329,0.07603852344324027,0.064,0.4225,0.01094568408095172,0.95,-0.0766666666666671
m1v7,fluency,50,500,0.23266700000000018,0.043118690824761004,0.982,-0.07786666666666663,0.04274358464209707,0.132,0.23975,0.005945754788082,0.95,-0.0766666666666671
m1v7,fluency,100,500,0.16936933333333334,0.00382094198329712,1.0,-0.07666666666666705,2.296796168853359e-16,0.0,0.09425,0.0,0.95,-0.0766666666666671
m1v7,relevance,25,500,0.7531233333333331,0.11248634796801152,0.972,-0.40911999999999993,0.1680687287181159,0.494,0.05075,0.0073778045514909145,0.95,-0.39666666666666694
m1v7,relevance,50,500,0.5376956666666665,0.04538642801575592,0.994,-0.3925866666666667,0.09831070491310766,0.868,0.0075,0.0034536936748935927,0.95,-0.39666666666666694
m1v7,relevance,100,500,0.3825616666666666,0.008349880198661206,1.0,-0.3966666666666668,6.945443131436979e-16,1.0,0.0,0.0,0.95,-0.39666666666666694
