metric,sample_size,n_trials,mean_ci_width,std_ci_width,empirical_coverage,mean_point_estimate,std_point_estimate,fraction_significant,median_p_value,coverage_se,nominal_ci_level,full_sample_estimate
coherence,25,500,0.8402706666666663,0.10647214679110603,0.952,-0.5820533333333332,0.1951312453060203,0.704,0.017,0.009559916317625384,0.95,-0.566666666666666
coherence,50,500,0.6029209999999998,0.04125930369632083,0.99,-0.5539733333333332,0.10971893486136292,0.986,0.001,0.0044497190922574,0.95,-0.566666666666666
coherence,100,500,0.42862066666666654,0.008841010175417855,1.0,-0.5666666666666668,8.425062173902047e-16,1.0,0.0,0.0,0.95,-0.566666666666666
consistency,25,500,0.3000786666666668,0.18314869803421405,0.826,0.04405333333333347,0.0830798646218743,0.002,0.746,0.016954291492126707,0.95,0.04999999999999982
consistency,50,500,0.24318366666666683,0.07916794668936701,0.936,0.054040000000000234,0.04774065430511294,0.04,0.4385,0.01094568408095172,0.95,0.04999999999999982
consistency,100,500,0.18650933333333342,0.004412563362815365,1.0,0.04999999999999999,4.3580436709661435e-16,0.0,0.305,0.0,0.95,0.04999999999999982
fluency,25,500,0.3819346666666668,0.11177013500903385,0.952,-0.033413333333333385,0.09306571423162245,0.02,0.59175,0.009559916317625384,0.95,-0.033333333333333215
fluency,50,500,0.2790153333333335,0.04621602350666541,0.984,-0.0299466666666667,0.05246365751268304,0.014,0.5822499999999999,0.00561141693336006,0.95,-0.033333333333333215
fluency,100,500,0.20033533333333348,0.004453146993689388,1.0,-0.03333333333333322,4.879876787724965e-16,0.0,0.531,0.0,0.95,-0.033333333333333215
relevance,25,500,0.6609253333333331,0.10144670172791137,0.952,-0.4219733333333335,0.15735969798235566,0.628,0.02275,0.009559916317625384,0.95,-0.413333333333334
relevance,50,500,0.4750499999999999,0.04159030343738015,0.99,-0.4066000000000001,0.0876964410680185,0.956,0.0015,0.0044497190922574,0.95,-0.413333333333334
relevance,100,500,0.33972516666666663,0.007208118881978992,1.0,-0.41333333333333344,5.32241252992641e-16,1.0,0.0,0.0,0.95,-0.413333333333334
